run,alpha,eps,beta,epochs,batch_size,hidden,dropout,seed,device,min_test_loss
sweep88,2.6826957952797274e-05,7.196856730011514e-06,0.99,100,128,128,0.2,42,cpu,77285.16308404
sweep89,2.6826957952797274e-05,1.9306977288832496e-05,0.5,100,128,128,0.2,42,cpu,1.80242211
sweep90,2.6826957952797274e-05,1.9306977288832496e-05,0.57,100,128,128,0.2,42,cpu,1.79047567
sweep91,2.6826957952797274e-05,1.9306977288832496e-05,0.64,100,128,128,0.2,42,cpu,127.69868201
sweep92,2.6826957952797274e-05,1.9306977288832496e-05,0.71,100,128,128,0.2,42,cpu,1.90508169
sweep93,2.6826957952797274e-05,1.9306977288832496e-05,0.78,100,128,128,0.2,42,cpu,11.19496741
sweep94,2.6826957952797274e-05,1.9306977288832496e-05,0.85,100,128,128,0.2,42,cpu,306.74310688
sweep95,2.6826957952797274e-05,1.9306977288832496e-05,0.9199999999999999,100,128,128,0.2,42,cpu,79.95949919
sweep96,2.6826957952797274e-05,1.9306977288832496e-05,0.99,100,128,128,0.2,42,cpu,2077329.32427184
sweep97,2.6826957952797274e-05,5.1794746792312125e-05,0.5,100,128,128,0.2,42,cpu,1.83852714
sweep98,2.6826957952797274e-05,5.1794746792312125e-05,0.57,100,128,128,0.2,42,cpu,1.85684957
sweep99,2.6826957952797274e-05,5.1794746792312125e-05,0.64,100,128,128,0.2,42,cpu,1.78746379
sweep100,2.6826957952797274e-05,5.1794746792312125e-05,0.71,100,128,128,0.2,42,cpu,9.3363465
sweep101,2.6826957952797274e-05,5.1794746792312125e-05,0.78,100,128,128,0.2,42,cpu,1366.21211009
sweep102,2.6826957952797274e-05,5.1794746792312125e-05,0.85,100,128,128,0.2,42,cpu,4.95771263
sweep103,2.6826957952797274e-05,5.1794746792312125e-05,0.9199999999999999,100,128,128,0.2,42,cpu,1853683.95169903
sweep104,2.6826957952797274e-05,5.1794746792312125e-05,0.99,100,128,128,0.2,42,cpu,1548479.53907767
sweep105,2.6826957952797274e-05,0.00013894954943731373,0.5,100,128,128,0.2,42,cpu,3.569639
sweep106,2.6826957952797274e-05,0.00013894954943731373,0.57,100,128,128,0.2,42,cpu,1.78882525
sweep107,2.6826957952797274e-05,0.00013894954943731373,0.64,100,128,128,0.2,42,cpu,1.83244334
sweep108,2.6826957952797274e-05,0.00013894954943731373,0.71,100,128,128,0.2,42,cpu,3.14158805
